User ID,Hotel ID,Ratings,Satisfaction,Staff,Facilities,Cleanliness,Comfort,Value for money,Location,Free Wifi
1,1,8.5,1,7.89,8.99,9.57,9.0,9.08,7.21,7.52
2,2,8.3,1,8.34,8.46,7.87,8.15,9.33,8.62,7.27
3,3,8.2,2,7.4,8.49,8.8,7.05,7.98,9.6,8.24
4,4,8.6,2,8.45,8.47,9.3,7.82,9.67,7.91,8.44
5,5,8.4,1,7.0,8.82,8.96,8.18,9.72,7.91,8.01
6,6,9.2,1,7.19,9.52,9.04,9.4,9.47,9.76,9.82
7,7,8.3,3,7.1,8.06,8.54,9.4,8.15,8.34,8.35
8,8,8.3,2,7.63,8.51,9.84,8.13,9.03,7.27,7.78
9,9,8.8,1,9.23,9.92,7.1,7.58,9.22,9.81,8.64
10,10,7.8,3,7.17,7.4,7.89,7.89,9.89,7.29,7.14
11,11,8.9,4,9.12,9.57,8.44,9.21,8.26,8.14,9.35
12,12,8.6,1,7.08,8.9,8.63,9.97,8.81,7.44,9.57
13,13,9.0,4,9.58,8.99,8.96,9.83,8.09,9.97,7.39
14,14,8.9,1,8.93,8.75,8.3,8.85,8.88,8.71,9.62
15,15,7.8,4,7.6,7.59,7.42,8.89,8.33,7.06,8.03
16,16,9.3,4,9.87,8.19,7.93,9.66,9.93,9.84,9.46
17,17,8.7,1,7.95,9.7,8.42,9.53,8.23,8.05,8.94
18,18,8.9,1,8.94,7.76,9.91,7.31,9.2,9.99,9.02
19,19,8.1,4,8.07,9.42,7.27,7.14,8.93,8.4,7.64
20,20,8.3,3,8.17,9.82,7.62,7.8,7.48,7.7,9.73
21,21,8.8,1,7.79,9.06,7.79,8.93,9.63,9.3,9.39
22,22,8.9,2,7.37,9.47,8.48,9.62,9.49,9.25,8.63
23,23,8.4,4,7.17,8.9,8.53,8.86,7.68,9.64,8.13
24,24,8.4,3,7.12,7.57,9.55,9.02,9.53,8.31,7.93
25,25,8.4,1,8.84,8.29,8.27,8.38,7.9,7.5,9.46
26,26,8.7,4,9.56,8.03,9.89,7.66,8.25,9.03,8.72
27,27,8.4,1,7.89,8.69,9.06,7.52,8.18,9.67,7.48
28,28,8.4,4,7.79,7.33,7.06,8.71,9.1,8.98,9.65
29,29,8.7,4,7.17,7.43,9.64,9.24,9.88,7.83,9.88
30,30,8.3,2,8.94,8.82,7.75,8.18,9.31,7.61,7.16
31,31,8.5,2,9.87,7.08,9.1,8.6,8.29,7.32,8.9
32,32,8.1,2,7.17,7.91,7.9,8.73,8.34,9.11,7.31
